RECID,TIMESTMP,CON_ID,DET_ID,TAG_ID,ERRORCODE,ERRORMSG,LATENESS,SYSID,VEH_NUM,EVFLAG,lat,lon
126659,11/28/2017 16:05,0,830,5614,68098,ERROR: Det ID does not exist along current dir.,0,2,E-998,0,34.005625,-118.4302
126660,11/28/2017 16:05,0,830,5614,67097,CHANGED: Run List.,0,2,E-998,0,34.005625,-118.4302
126661,11/28/2017 16:05,0,830,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0,34.005625,-118.4302
126662,11/28/2017 16:05,0,830,5614,68106,"SUCCESS: Dir. ""W"" determined from uni-dir DET#.",0,2,E-998,0,34.005625,-118.4302
126663,11/28/2017 16:05,311,830,5614,68111,ISSUED: Start prty(EV# 9).,0,2,E-998,0,34.005625,-118.4302
126711,11/28/2017 16:05,0,828,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.004305,-118.432582
126712,11/28/2017 16:05,310,828,5614,68111,ISSUED: Start prty(EV# 6).,0,2,E-998,0,34.004305,-118.432582
126720,11/28/2017 16:06,0,726,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.003723,-118.433821
126721,11/28/2017 16:06,310,726,5614,68112,ISSUED: Cancel prty(EV# 6).,0,2,E-998,0,34.003723,-118.433821
126722,11/28/2017 16:06,0,724,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.003501,-118.434269
126723,11/28/2017 16:06,358,724,5614,68111,ISSUED: Start prty(EV# 11).,0,2,E-998,0,34.003501,-118.434269
126794,11/28/2017 16:06,0,722,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.001533,-118.438209
126795,11/28/2017 16:06,357,722,5614,68111,ISSUED: Start prty(EV# 5).,0,2,E-998,0,34.001533,-118.438209
126818,11/28/2017 16:06,0,720,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.999969,-118.441279
126819,11/28/2017 16:06,308,720,5614,68111,ISSUED: Start prty(EV# 5).,0,2,E-998,0,33.999969,-118.441279
126823,11/28/2017 16:07,0,718,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.999676,-118.441872
126824,11/28/2017 16:07,307,718,5614,68111,ISSUED: Start prty(EV# 8).,0,2,E-998,0,33.999676,-118.441872
126840,11/28/2017 16:07,0,717,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.998518,-118.444173
126841,11/28/2017 16:07,307,717,5614,68112,ISSUED: Cancel prty(EV# 8).,0,2,E-998,0,33.998518,-118.444173
126863,11/28/2017 16:07,0,716,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,33.997729,-118.445729
126864,11/28/2017 16:07,306,716,5614,68111,ISSUED: Start prty(EV# 7).,0,2,E-998,0,33.997729,-118.445729
127218,11/28/2017 16:11,0,0,5614,67101,MARKED: Hot/Run List deleted by Timeout.,0,2,E-998,0,#N/A,#N/A
127221,11/28/2017 16:11,0,0,5614,67103,DELETED: Hot/Run List deleted by System.,0,2,E-998,0,#N/A,#N/A
130232,11/28/2017 16:49,0,831,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.005622,-118.429851
130233,11/28/2017 16:49,0,831,5614,67095,CREATED: Hot/Run List.,0,2,E-998,0,34.005622,-118.429851
130234,11/28/2017 16:49,0,831,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0,34.005622,-118.429851
130235,11/28/2017 16:49,0,831,5614,68106,"SUCCESS: Dir. ""E"" determined from uni-dir DET#.",0,2,E-998,0,34.005622,-118.429851
130236,11/28/2017 16:49,360,831,5614,68114,IGNORED: No start prty found.,0,2,E-998,0,34.005622,-118.429851
130592,11/28/2017 16:53,0,0,5614,67101,MARKED: Hot/Run List deleted by Timeout.,0,2,E-998,0,#N/A,#N/A
130596,11/28/2017 16:53,0,0,5614,67103,DELETED: Hot/Run List deleted by System.,0,2,E-998,0,#N/A,#N/A
165074,11/29/2017 8:27,0,733,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.006256,-118.428796
165075,11/29/2017 8:27,0,733,5614,67095,CREATED: Hot/Run List.,0,2,E-998,0,34.006256,-118.428796
165076,11/29/2017 8:27,0,733,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0,34.006256,-118.428796
165077,11/29/2017 8:27,0,733,5614,68106,"SUCCESS: Dir. ""W"" determined from uni-dir DET#.",0,2,E-998,0,34.006256,-118.428796
165078,11/29/2017 8:27,312,733,5614,68111,ISSUED: Start prty(EV# 12).,0,2,E-998,0,34.006256,-118.428796
165136,11/29/2017 8:27,0,734,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.008716,-118.42445
165137,11/29/2017 8:27,0,734,5614,68098,ERROR: Det ID does not exist along current dir.,0,2,E-998,0,34.008716,-118.42445
165138,11/29/2017 8:27,0,734,5614,67097,CHANGED: Run List.,0,2,E-998,0,34.008716,-118.42445
165139,11/29/2017 8:27,0,734,5614,65794,RECEIVED: Resubmitted Tag ID.,0,2,E-998,0,34.008716,-118.42445
165140,11/29/2017 8:27,0,734,5614,68106,"SUCCESS: Dir. ""E"" determined from uni-dir DET#.",0,2,E-998,0,34.008716,-118.42445
165141,11/29/2017 8:27,314,734,5614,68111,ISSUED: Start prty(EV# 9).,0,2,E-998,0,34.008716,-118.42445
165495,11/29/2017 8:31,0,0,5614,67101,MARKED: Hot/Run List deleted by Timeout.,0,2,E-998,0,#N/A,#N/A
165507,11/29/2017 8:31,0,0,5614,67103,DELETED: Hot/Run List deleted by System.,0,2,E-998,0,#N/A,#N/A
175923,11/29/2017 10:54,0,730,5614,65792,RECEIVED: Tag ID.,0,2,E-998,0,34.006235,-118.429199
